#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
# DPW-8/AePW-4 UNSTEADY SECTIONAL CUT SUBMITTAL FORM (Version 5 - October 16, 2024)
#
# Provide this file for steady-state or time-averaged sectional cuts
#
#
#
# Data Set Title XXX.YY: Replace "XXX.YY" in the zone titles with the following information
#                     (Three-Digit Participant ID).(Two-Digit Submission ID)
#                     XXX  THREE-DIGIT PARTICIPANT ID: assigned by your working group leaders
#                     YY   TWO-DIGIT  SUBMISSION ID:  (self assigned) label a solver/grid/computational approach
#                     K.KK ALPHA: Angle of attack for the solution
#                     L    GRID LEVEL: 1, 2, 3, 4, 5, or 6
#                     EXAMPLE: 007.02 - ALPHA 2.50 - GRID 3 - WING SECTION  1
#
# 
#       NOMENCLATURE:
#                  X:   X coordinate
#                  Y:   Y coordinate
#                  Z:   Z coordinate
#                X/C:   Chord Fraction = (X - X_LE)/CHORD
#             CP_AVG:   Time-averaged coefficient of pressure
#             CP_RMS:   Root mean square of instantaneous coefficient of pressure
#             CF_AVG:   Time-averaged skin-friction coefficient at wall [tauw/(freestream dynamic pressure)]
#             CF_RMS:   Root mean square of skin-friction coefficient at wall [tauw/(freestream dynamic pressure)]
#                   
#        DEFINITIONS:   CTU --> Convective Time Unit  (Uinf/Cref is 1.00 CTU)
#
#   REFERENCE VALUES: ONERA OAT15A (ONE CELL WIDE)
#                       Planform ref area, A         =  Cref * span (span is grid dependent)
#                       Mean aerodynamic chord, Cref =    230.00 mm
#                       x moment center              =     57.50 mm
#                       y moment center              =      0.00 mm
#                       z moment center              =      0.00 mm
#
#   REFERENCE VALUES: Common Research Model
#                       Planform ref area, A         = 594720.00 inches^2
#                       Mean aerodynamic chord, Cref =    275.80 inches
#                       Full-span length, B          =   2313.50 inches
#                       Semi-span length, BO2        =   1156.75 inches
#                       x moment center              =   1325.90 inches
#                       y moment center              =      0.00 inches
#                       z moment center              =    177.95 inches
#                       Aspect Ratio, AR             =      9.00
#
#   CONFIGURATION:      ONERA OAT15A
#                       CRMWB   (Common Research Model Wing/Body)
#                       CRMWBNP (Common Research Model Wing/Body/Nacelle/Pylon)
#
#
#              NOTES:   1. All numerical data fields can be free-formatted.
#                       2. Please use at least 4 decimal places for coordinate values
#                       3. Please use at least 6 decimal places for coefficient values
#                       4. Only include one grid type, grid size, soln method, turb model, etc per form.
#                       5. Fill fields with value of -999 for data that are not available.
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

TITLE = "XXX.YY"
# Column       1     2     3     4       5          6          7          8
VARIABLES =   "X"   "Y"   "Z"   "X/C"   "CP_AVG"   "CP_RMS"   "CF_AVG"   "CF_RMS"


#---------------------------------------------------
#   PARTICIPANT, GRID, AND SOLVER INFORMATION
#---------------------------------------------------
DATASETAUXDATA ParticipantID   = "Participant ID"
-999 -999 -999 0.000000 0.438875 -999 -999 -999
-999 -999 -999 0.002559 0.128924 -999 -999 -999
-999 -999 -999 0.986182 0.331846 -999 -999 -999
-999 -999 -999 0.969806 0.092393 -999 -999 -999
-999 -999 -999 0.954964 0.081498 -999 -999 -999
-999 -999 -999 0.943705 0.049456 -999 -999 -999
-999 -999 -999 0.910952 -0.015218 -999 -999 -999
-999 -999 -999 0.898669 -0.037154 -999 -999 -999
-999 -999 -999 0.890993 -0.048776 -999 -999 -999
-999 -999 -999 0.851586 -0.068267 -999 -999 -999
-999 -999 -999 0.003582 0.116829 -999 -999 -999
-999 -999 -999 0.006653 -0.125289 -999 -999 -999
-999 -999 -999 0.009724 -0.266298 -999 -999 -999
-999 -999 -999 0.012282 -0.340931 -999 -999 -999
-999 -999 -999 0.016377 -0.406407 -999 -999 -999
-999 -999 -999 0.017912 -0.467204 -999 -999 -999
-999 -999 -999 0.019959 -0.510714 -999 -999 -999
-999 -999 -999 0.024565 -0.604058 -999 -999 -999
-999 -999 -999 0.046059 -0.585249 -999 -999 -999
-999 -999 -999 0.046571 -0.586298 -999 -999 -999
-999 -999 -999 0.046571 -0.598362 -999 -999 -999
-999 -999 -999 0.087513 -0.676836 -999 -999 -999
-999 -999 -999 0.088536 -0.684625 -999 -999 -999
-999 -999 -999 0.138178 -0.713514 -999 -999 -999
-999 -999 -999 0.096725 -0.693084 -999 -999 -999
-999 -999 -999 0.144831 -0.739849 -999 -999 -999
-999 -999 -999 0.217503 -0.762542 -999 -999 -999
-999 -999 -999 0.225691 -0.729854 -999 -999 -999
-999 -999 -999 0.236438 -0.728205 -999 -999 -999
-999 -999 -999 0.313204 -0.757820 -999 -999 -999
-999 -999 -999 0.427840 -0.766053 -999 -999 -999
-999 -999 -999 0.425281 -0.759080 -999 -999 -999
-999 -999 -999 0.424770 -0.773980 -999 -999 -999
-999 -999 -999 0.346981 -0.782678 -999 -999 -999
-999 -999 -999 0.423234 -0.774971 -999 -999 -999
-999 -999 -999 0.520471 -0.582118 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=26.624000 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 0.441362 -999 -999 -999
-999 -999 -999 0.987206 0.312835 -999 -999 -999
-999 -999 -999 0.986694 0.300295 -999 -999 -999
-999 -999 -999 0.645343 -0.140689 -999 -999 -999
-999 -999 -999 0.610542 -0.145962 -999 -999 -999
-999 -999 -999 0.740020 -0.138925 -999 -999 -999
-999 -999 -999 0.712385 -0.156069 -999 -999 -999
-999 -999 -999 0.797339 -0.126333 -999 -999 -999
-999 -999 -999 0.829069 -0.097020 -999 -999 -999
-999 -999 -999 0.002047 0.127209 -999 -999 -999
-999 -999 -999 0.000000 0.415095 -999 -999 -999
-999 -999 -999 0.002559 0.108962 -999 -999 -999
-999 -999 -999 0.985159 0.275596 -999 -999 -999
-999 -999 -999 0.969294 0.066384 -999 -999 -999
-999 -999 -999 0.955476 0.079127 -999 -999 -999
-999 -999 -999 0.943193 0.058158 -999 -999 -999
-999 -999 -999 0.909417 0.005851 -999 -999 -999
-999 -999 -999 0.898669 -0.017158 -999 -999 -999
-999 -999 -999 0.890993 -0.028518 -999 -999 -999
-999 -999 -999 0.855681 -0.068409 -999 -999 -999
-999 -999 -999 0.003071 0.088231 -999 -999 -999
-999 -999 -999 0.006653 -0.148649 -999 -999 -999
-999 -999 -999 0.009724 -0.293344 -999 -999 -999
-999 -999 -999 0.012282 -0.345274 -999 -999 -999
-999 -999 -999 0.015865 -0.408098 -999 -999 -999
-999 -999 -999 0.017912 -0.459131 -999 -999 -999
-999 -999 -999 0.020471 -0.503713 -999 -999 -999
-999 -999 -999 0.024565 -0.574564 -999 -999 -999
-999 -999 -999 0.044012 -0.616024 -999 -999 -999
-999 -999 -999 0.046571 -0.617504 -999 -999 -999
-999 -999 -999 0.047595 -0.629876 -999 -999 -999
-999 -999 -999 0.087001 -0.600129 -999 -999 -999
-999 -999 -999 0.089560 -0.608320 -999 -999 -999
-999 -999 -999 0.139202 -0.711671 -999 -999 -999
-999 -999 -999 0.103378 -0.624453 -999 -999 -999
-999 -999 -999 0.144831 -0.732698 -999 -999 -999
-999 -999 -999 0.219550 -0.762369 -999 -999 -999
-999 -999 -999 0.226714 -0.728665 -999 -999 -999
-999 -999 -999 0.235926 -0.727449 -999 -999 -999
-999 -999 -999 0.315251 -0.744596 -999 -999 -999
-999 -999 -999 0.434493 -0.740398 -999 -999 -999
-999 -999 -999 0.427840 -0.731373 -999 -999 -999
-999 -999 -999 0.425793 -0.746522 -999 -999 -999
-999 -999 -999 0.348004 -0.766036 -999 -999 -999
-999 -999 -999 0.421699 -0.747004 -999 -999 -999
-999 -999 -999 0.519959 -0.592164 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=26.828800 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 0.441437 -999 -999 -999
-999 -999 -999 0.987199 0.258982 -999 -999 -999
-999 -999 -999 0.986687 0.244224 -999 -999 -999
-999 -999 -999 0.650282 -0.149116 -999 -999 -999
-999 -999 -999 0.611367 -0.158872 -999 -999 -999
-999 -999 -999 0.739887 -0.118543 -999 -999 -999
-999 -999 -999 0.713774 -0.130640 -999 -999 -999
-999 -999 -999 0.794163 -0.106212 -999 -999 -999
-999 -999 -999 0.829493 -0.089254 -999 -999 -999
-999 -999 -999 0.002048 0.178884 -999 -999 -999
-999 -999 -999 0.000000 0.437788 -999 -999 -999
-999 -999 -999 0.002048 0.155058 -999 -999 -999
-999 -999 -999 0.984639 0.222362 -999 -999 -999
-999 -999 -999 0.969278 0.037404 -999 -999 -999
-999 -999 -999 0.955453 0.066057 -999 -999 -999
-999 -999 -999 0.943164 0.070213 -999 -999 -999
-999 -999 -999 0.908346 -0.001598 -999 -999 -999
-999 -999 -999 0.898105 -0.029345 -999 -999 -999
-999 -999 -999 0.891449 -0.039103 -999 -999 -999
-999 -999 -999 0.859703 -0.057983 -999 -999 -999
-999 -999 -999 0.002560 0.117828 -999 -999 -999
-999 -999 -999 0.006144 -0.148447 -999 -999 -999
-999 -999 -999 0.009729 -0.282749 -999 -999 -999
-999 -999 -999 0.011777 -0.338742 -999 -999 -999
-999 -999 -999 0.014849 -0.420312 -999 -999 -999
-999 -999 -999 0.017921 -0.477971 -999 -999 -999
-999 -999 -999 0.020481 -0.515896 -999 -999 -999
-999 -999 -999 0.024578 -0.576458 -999 -999 -999
-999 -999 -999 0.041987 -0.606294 -999 -999 -999
-999 -999 -999 0.046083 -0.610685 -999 -999 -999
-999 -999 -999 0.047619 -0.621198 -999 -999 -999
-999 -999 -999 0.086534 -0.621167 -999 -999 -999
-999 -999 -999 0.090118 -0.628445 -999 -999 -999
-999 -999 -999 0.139785 -0.701536 -999 -999 -999
-999 -999 -999 0.110087 -0.638574 -999 -999 -999
-999 -999 -999 0.144393 -0.724885 -999 -999 -999
-999 -999 -999 0.221198 -0.736509 -999 -999 -999
-999 -999 -999 0.227343 -0.713349 -999 -999 -999
-999 -999 -999 0.235023 -0.718525 -999 -999 -999
-999 -999 -999 0.316948 -0.746662 -999 -999 -999
-999 -999 -999 0.439836 -0.750398 -999 -999 -999
-999 -999 -999 0.429595 -0.723903 -999 -999 -999
-999 -999 -999 0.426523 -0.737780 -999 -999 -999
-999 -999 -999 0.348694 -0.757216 -999 -999 -999
-999 -999 -999 0.420379 -0.758500 -999 -999 -999
-999 -999 -999 0.518689 -0.593369 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=27.033600 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 0.439254 -999 -999 -999
-999 -999 -999 0.987705 0.213619 -999 -999 -999
-999 -999 -999 0.987193 0.199003 -999 -999 -999
-999 -999 -999 0.654713 -0.112366 -999 -999 -999
-999 -999 -999 0.612705 -0.124077 -999 -999 -999
-999 -999 -999 0.740266 -0.119395 -999 -999 -999
-999 -999 -999 0.715676 -0.142008 -999 -999 -999
-999 -999 -999 0.791496 -0.100653 -999 -999 -999
-999 -999 -999 0.830430 -0.079955 -999 -999 -999
-999 -999 -999 0.002049 0.138356 -999 -999 -999
-999 -999 -999 0.000000 0.427441 -999 -999 -999
-999 -999 -999 0.002049 0.103012 -999 -999 -999
-999 -999 -999 0.984631 0.180159 -999 -999 -999
-999 -999 -999 0.969775 0.034041 -999 -999 -999
-999 -999 -999 0.956455 0.078270 -999 -999 -999
-999 -999 -999 0.943648 0.077521 -999 -999 -999
-999 -999 -999 0.907787 0.022447 -999 -999 -999
-999 -999 -999 0.898566 -0.009970 -999 -999 -999
-999 -999 -999 0.892418 -0.020572 -999 -999 -999
-999 -999 -999 0.863217 -0.049933 -999 -999 -999
-999 -999 -999 0.002049 0.071814 -999 -999 -999
-999 -999 -999 0.006148 -0.143417 -999 -999 -999
-999 -999 -999 0.010246 -0.302392 -999 -999 -999
-999 -999 -999 0.011783 -0.384533 -999 -999 -999
-999 -999 -999 0.014344 -0.424481 -999 -999 -999
-999 -999 -999 0.017930 -0.461221 -999 -999 -999
-999 -999 -999 0.021004 -0.503502 -999 -999 -999
-999 -999 -999 0.024590 -0.588988 -999 -999 -999
-999 -999 -999 0.040471 -0.632530 -999 -999 -999
-999 -999 -999 0.045594 -0.630926 -999 -999 -999
-999 -999 -999 0.048156 -0.641302 -999 -999 -999
-999 -999 -999 0.086066 -0.568715 -999 -999 -999
-999 -999 -999 0.090676 -0.576282 -999 -999 -999
-999 -999 -999 0.140369 -0.704270 -999 -999 -999
-999 -999 -999 0.115266 -0.646813 -999 -999 -999
-999 -999 -999 0.144467 -0.724682 -999 -999 -999
-999 -999 -999 0.222336 -0.743841 -999 -999 -999
-999 -999 -999 0.227971 -0.717993 -999 -999 -999
-999 -999 -999 0.234631 -0.727941 -999 -999 -999
-999 -999 -999 0.319160 -0.725412 -999 -999 -999
-999 -999 -999 0.445184 -0.717564 -999 -999 -999
-999 -999 -999 0.431352 -0.691742 -999 -999 -999
-999 -999 -999 0.427254 -0.738652 -999 -999 -999
-999 -999 -999 0.349898 -0.713133 -999 -999 -999
-999 -999 -999 0.419570 -0.712388 -999 -999 -999
-999 -999 -999 0.518443 -0.603288 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=27.238400 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 0.429476 -999 -999 -999
-999 -999 -999 0.987711 0.164728 -999 -999 -999
-999 -999 -999 0.986687 0.150697 -999 -999 -999
-999 -999 -999 0.657962 -0.155844 -999 -999 -999
-999 -999 -999 0.612903 -0.174295 -999 -999 -999
-999 -999 -999 0.740399 -0.120923 -999 -999 -999
-999 -999 -999 0.716334 -0.150484 -999 -999 -999
-999 -999 -999 0.789555 -0.110492 -999 -999 -999
-999 -999 -999 0.830517 -0.093341 -999 -999 -999
-999 -999 -999 0.002048 0.166001 -999 -999 -999
-999 -999 -999 0.000000 0.430263 -999 -999 -999
-999 -999 -999 0.002560 0.127874 -999 -999 -999
-999 -999 -999 0.984127 0.137034 -999 -999 -999
-999 -999 -999 0.969278 0.016674 -999 -999 -999
-999 -999 -999 0.956477 0.068016 -999 -999 -999
-999 -999 -999 0.943164 0.048043 -999 -999 -999
-999 -999 -999 0.906810 0.012476 -999 -999 -999
-999 -999 -999 0.898105 -0.020037 -999 -999 -999
-999 -999 -999 0.892473 -0.033188 -999 -999 -999
-999 -999 -999 0.865335 -0.065597 -999 -999 -999
-999 -999 -999 0.002560 0.069767 -999 -999 -999
-999 -999 -999 0.006656 -0.150755 -999 -999 -999
-999 -999 -999 0.010753 -0.294390 -999 -999 -999
-999 -999 -999 0.012289 -0.361197 -999 -999 -999
-999 -999 -999 0.014849 -0.397117 -999 -999 -999
-999 -999 -999 0.017921 -0.417723 -999 -999 -999
-999 -999 -999 0.022017 -0.467237 -999 -999 -999
-999 -999 -999 0.025090 -0.578568 -999 -999 -999
-999 -999 -999 0.039939 -0.602775 -999 -999 -999
-999 -999 -999 0.046083 -0.602303 -999 -999 -999
-999 -999 -999 0.049155 -0.611166 -999 -999 -999
-999 -999 -999 0.086534 -0.591972 -999 -999 -999
-999 -999 -999 0.091654 -0.595459 -999 -999 -999
-999 -999 -999 0.141321 -0.706615 -999 -999 -999
-999 -999 -999 0.119816 -0.667452 -999 -999 -999
-999 -999 -999 0.144905 -0.723713 -999 -999 -999
-999 -999 -999 0.223758 -0.742346 -999 -999 -999
-999 -999 -999 0.228367 -0.721299 -999 -999 -999
-999 -999 -999 0.234511 -0.740203 -999 -999 -999
-999 -999 -999 0.320533 -0.690390 -999 -999 -999
-999 -999 -999 0.448541 -0.703859 -999 -999 -999
-999 -999 -999 0.433180 -0.689032 -999 -999 -999
-999 -999 -999 0.428059 -0.761415 -999 -999 -999
-999 -999 -999 0.350742 -0.638788 -999 -999 -999
-999 -999 -999 0.418843 -0.667908 -999 -999 -999
-999 -999 -999 0.518177 -0.573164 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=27.443200 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 0.409422 -999 -999 -999
-999 -999 -999 0.988217 0.132530 -999 -999 -999
-999 -999 -999 0.987193 0.120153 -999 -999 -999
-999 -999 -999 0.659836 -0.143363 -999 -999 -999
-999 -999 -999 0.613730 -0.171012 -999 -999 -999
-999 -999 -999 0.740266 -0.111563 -999 -999 -999
-999 -999 -999 0.717213 -0.138998 -999 -999 -999
-999 -999 -999 0.788934 -0.097758 -999 -999 -999
-999 -999 -999 0.830943 -0.092547 -999 -999 -999
-999 -999 -999 0.002049 0.159348 -999 -999 -999
-999 -999 -999 0.000000 0.447882 -999 -999 -999
-999 -999 -999 0.002561 0.102002 -999 -999 -999
-999 -999 -999 0.984119 0.113708 -999 -999 -999
-999 -999 -999 0.969775 0.045539 -999 -999 -999
-999 -999 -999 0.956967 0.087972 -999 -999 -999
-999 -999 -999 0.943648 0.069277 -999 -999 -999
-999 -999 -999 0.906762 0.005099 -999 -999 -999
-999 -999 -999 0.898566 -0.035032 -999 -999 -999
-999 -999 -999 0.892930 -0.045465 -999 -999 -999
-999 -999 -999 0.866803 -0.070170 -999 -999 -999
-999 -999 -999 0.002561 0.029095 -999 -999 -999
-999 -999 -999 0.006660 -0.160525 -999 -999 -999
-999 -999 -999 0.010758 -0.298030 -999 -999 -999
-999 -999 -999 0.012295 -0.374252 -999 -999 -999
-999 -999 -999 0.014344 -0.422579 -999 -999 -999
-999 -999 -999 0.017930 -0.451743 -999 -999 -999
-999 -999 -999 0.022029 -0.498088 -999 -999 -999
-999 -999 -999 0.025102 -0.613658 -999 -999 -999
-999 -999 -999 0.038934 -0.642843 -999 -999 -999
-999 -999 -999 0.046107 -0.644761 -999 -999 -999
-999 -999 -999 0.049180 -0.597950 -999 -999 -999
-999 -999 -999 0.086578 -0.559805 -999 -999 -999
-999 -999 -999 0.091701 -0.598518 -999 -999 -999
-999 -999 -999 0.141906 -0.707098 -999 -999 -999
-999 -999 -999 0.121926 -0.686719 -999 -999 -999
-999 -999 -999 0.144980 -0.736938 -999 -999 -999
-999 -999 -999 0.224385 -0.734523 -999 -999 -999
-999 -999 -999 0.228996 -0.708179 -999 -999 -999
-999 -999 -999 0.234119 -0.677645 -999 -999 -999
-999 -999 -999 0.321209 -0.647341 -999 -999 -999
-999 -999 -999 0.450820 -0.676047 -999 -999 -999
-999 -999 -999 0.433914 -0.691896 -999 -999 -999
-999 -999 -999 0.428279 -0.721601 -999 -999 -999
-999 -999 -999 0.351434 -0.595343 -999 -999 -999
-999 -999 -999 0.418545 -0.624972 -999 -999 -999
-999 -999 -999 0.517930 -0.545065 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=27.648000 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 0.381046 -999 -999 -999
-999 -999 -999 0.988217 0.091299 -999 -999 -999
-999 -999 -999 0.987193 0.077377 -999 -999 -999
-999 -999 -999 0.659836 -0.165219 -999 -999 -999
-999 -999 -999 0.613730 -0.189330 -999 -999 -999
-999 -999 -999 0.740266 -0.123758 -999 -999 -999
-999 -999 -999 0.717213 -0.156636 -999 -999 -999
-999 -999 -999 0.788934 -0.095901 -999 -999 -999
-999 -999 -999 0.830943 -0.093550 -999 -999 -999
-999 -999 -999 0.002049 0.173119 -999 -999 -999
-999 -999 -999 0.000000 0.425397 -999 -999 -999
-999 -999 -999 0.002561 0.115824 -999 -999 -999
-999 -999 -999 0.984119 0.077495 -999 -999 -999
-999 -999 -999 0.969775 0.030835 -999 -999 -999
-999 -999 -999 0.956967 0.084068 -999 -999 -999
-999 -999 -999 0.943648 0.093141 -999 -999 -999
-999 -999 -999 0.906762 0.014770 -999 -999 -999
-999 -999 -999 0.898566 -0.031958 -999 -999 -999
-999 -999 -999 0.892930 -0.043623 -999 -999 -999
-999 -999 -999 0.866803 -0.064439 -999 -999 -999
-999 -999 -999 0.002561 0.034688 -999 -999 -999
-999 -999 -999 0.006660 -0.166078 -999 -999 -999
-999 -999 -999 0.010758 -0.286527 -999 -999 -999
-999 -999 -999 0.012295 -0.360828 -999 -999 -999
-999 -999 -999 0.014344 -0.419803 -999 -999 -999
-999 -999 -999 0.017930 -0.441881 -999 -999 -999
-999 -999 -999 0.022029 -0.504023 -999 -999 -999
-999 -999 -999 0.025102 -0.587881 -999 -999 -999
-999 -999 -999 0.038934 -0.602639 -999 -999 -999
-999 -999 -999 0.046107 -0.598345 -999 -999 -999
-999 -999 -999 0.049180 -0.623790 -999 -999 -999
-999 -999 -999 0.086578 -0.585888 -999 -999 -999
-999 -999 -999 0.091701 -0.606596 -999 -999 -999
-999 -999 -999 0.141906 -0.728308 -999 -999 -999
-999 -999 -999 0.121926 -0.691834 -999 -999 -999
-999 -999 -999 0.144980 -0.739258 -999 -999 -999
-999 -999 -999 0.224385 -0.746490 -999 -999 -999
-999 -999 -999 0.228996 -0.728508 -999 -999 -999
-999 -999 -999 0.234119 -0.672098 -999 -999 -999
-999 -999 -999 0.321209 -0.632436 -999 -999 -999
-999 -999 -999 0.450820 -0.654847 -999 -999 -999
-999 -999 -999 0.433914 -0.698825 -999 -999 -999
-999 -999 -999 0.428791 -0.689930 -999 -999 -999
-999 -999 -999 0.351434 -0.570145 -999 -999 -999
-999 -999 -999 0.419057 -0.598038 -999 -999 -999
-999 -999 -999 0.517930 -0.499647 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=27.852800 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 0.373884 -999 -999 -999
-999 -999 -999 0.987711 0.064882 -999 -999 -999
-999 -999 -999 0.986687 0.048287 -999 -999 -999
-999 -999 -999 0.657962 -0.155800 -999 -999 -999
-999 -999 -999 0.612903 -0.171862 -999 -999 -999
-999 -999 -999 0.740399 -0.132580 -999 -999 -999
-999 -999 -999 0.716334 -0.166411 -999 -999 -999
-999 -999 -999 0.789555 -0.110429 -999 -999 -999
-999 -999 -999 0.830517 -0.099349 -999 -999 -999
-999 -999 -999 0.002560 0.167302 -999 -999 -999
-999 -999 -999 0.000000 0.444016 -999 -999 -999
-999 -999 -999 0.002560 0.098989 -999 -999 -999
-999 -999 -999 0.984127 0.046078 -999 -999 -999
-999 -999 -999 0.969790 -0.002382 -999 -999 -999
-999 -999 -999 0.956477 0.063705 -999 -999 -999
-999 -999 -999 0.943676 0.078869 -999 -999 -999
-999 -999 -999 0.906810 0.020171 -999 -999 -999
-999 -999 -999 0.898105 -0.026976 -999 -999 -999
-999 -999 -999 0.892473 -0.039926 -999 -999 -999
-999 -999 -999 0.865335 -0.075111 -999 -999 -999
-999 -999 -999 0.002560 0.019071 -999 -999 -999
-999 -999 -999 0.006656 -0.140753 -999 -999 -999
-999 -999 -999 0.010753 -0.248322 -999 -999 -999
-999 -999 -999 0.012289 -0.361682 -999 -999 -999
-999 -999 -999 0.014849 -0.422178 -999 -999 -999
-999 -999 -999 0.017921 -0.450080 -999 -999 -999
-999 -999 -999 0.022017 -0.517504 -999 -999 -999
-999 -999 -999 0.025090 -0.605026 -999 -999 -999
-999 -999 -999 0.039939 -0.644807 -999 -999 -999
-999 -999 -999 0.046083 -0.654104 -999 -999 -999
-999 -999 -999 0.049155 -0.647189 -999 -999 -999
-999 -999 -999 0.086534 -0.610467 -999 -999 -999
-999 -999 -999 0.091654 -0.637004 -999 -999 -999
-999 -999 -999 0.141321 -0.718646 -999 -999 -999
-999 -999 -999 0.119816 -0.708878 -999 -999 -999
-999 -999 -999 0.144905 -0.743864 -999 -999 -999
-999 -999 -999 0.223758 -0.735686 -999 -999 -999
-999 -999 -999 0.228879 -0.712095 -999 -999 -999
-999 -999 -999 0.234511 -0.624053 -999 -999 -999
-999 -999 -999 0.320533 -0.594524 -999 -999 -999
-999 -999 -999 0.448541 -0.627069 -999 -999 -999
-999 -999 -999 0.432668 -0.714438 -999 -999 -999
-999 -999 -999 0.428059 -0.652798 -999 -999 -999
-999 -999 -999 0.350742 -0.485322 -999 -999 -999
-999 -999 -999 0.419355 -0.569824 -999 -999 -999
-999 -999 -999 0.518177 -0.418116 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=28.057600 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 0.393609 -999 -999 -999
-999 -999 -999 0.988217 0.108176 -999 -999 -999
-999 -999 -999 0.987193 0.098996 -999 -999 -999
-999 -999 -999 0.654713 -0.190238 -999 -999 -999
-999 -999 -999 0.612705 -0.204211 -999 -999 -999
-999 -999 -999 0.740266 -0.154429 -999 -999 -999
-999 -999 -999 0.715676 -0.182289 -999 -999 -999
-999 -999 -999 0.792008 -0.130304 -999 -999 -999
-999 -999 -999 0.830430 -0.127535 -999 -999 -999
-999 -999 -999 0.002049 0.176284 -999 -999 -999
-999 -999 -999 0.000000 0.418845 -999 -999 -999
-999 -999 -999 0.002049 0.102744 -999 -999 -999
-999 -999 -999 0.984631 0.093305 -999 -999 -999
-999 -999 -999 0.969775 0.005565 -999 -999 -999
-999 -999 -999 0.956455 0.053071 -999 -999 -999
-999 -999 -999 0.943648 0.047791 -999 -999 -999
-999 -999 -999 0.907787 -0.019449 -999 -999 -999
-999 -999 -999 0.898566 -0.062453 -999 -999 -999
-999 -999 -999 0.892418 -0.076364 -999 -999 -999
-999 -999 -999 0.862705 -0.110413 -999 -999 -999
-999 -999 -999 0.002049 0.011287 -999 -999 -999
-999 -999 -999 0.006660 -0.144560 -999 -999 -999
-999 -999 -999 0.010246 -0.254236 -999 -999 -999
-999 -999 -999 0.011783 -0.381073 -999 -999 -999
-999 -999 -999 0.014857 -0.423600 -999 -999 -999
-999 -999 -999 0.017930 -0.431620 -999 -999 -999
-999 -999 -999 0.021516 -0.535422 -999 -999 -999
-999 -999 -999 0.024590 -0.607044 -999 -999 -999
-999 -999 -999 0.040471 -0.597684 -999 -999 -999
-999 -999 -999 0.046107 -0.584331 -999 -999 -999
-999 -999 -999 0.048668 -0.606905 -999 -999 -999
-999 -999 -999 0.086578 -0.586922 -999 -999 -999
-999 -999 -999 0.090676 -0.625264 -999 -999 -999
-999 -999 -999 0.140881 -0.734040 -999 -999 -999
-999 -999 -999 0.115266 -0.711364 -999 -999 -999
-999 -999 -999 0.144980 -0.747109 -999 -999 -999
-999 -999 -999 0.222336 -0.761844 -999 -999 -999
-999 -999 -999 0.227971 -0.747191 -999 -999 -999
-999 -999 -999 0.234631 -0.632864 -999 -999 -999
-999 -999 -999 0.319160 -0.587404 -999 -999 -999
-999 -999 -999 0.444672 -0.620351 -999 -999 -999
-999 -999 -999 0.431352 -0.737567 -999 -999 -999
-999 -999 -999 0.427254 -0.605585 -999 -999 -999
-999 -999 -999 0.349898 -0.441698 -999 -999 -999
-999 -999 -999 0.419570 -0.547975 -999 -999 -999
-999 -999 -999 0.518443 -0.398338 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=28.262400 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 0.362433 -999 -999 -999
-999 -999 -999 0.987711 0.108691 -999 -999 -999
-999 -999 -999 0.986687 0.098566 -999 -999 -999
-999 -999 -999 0.649770 -0.192509 -999 -999 -999
-999 -999 -999 0.611367 -0.204129 -999 -999 -999
-999 -999 -999 0.740399 -0.167696 -999 -999 -999
-999 -999 -999 0.713774 -0.178860 -999 -999 -999
-999 -999 -999 0.794675 -0.141907 -999 -999 -999
-999 -999 -999 0.829493 -0.140925 -999 -999 -999
-999 -999 -999 0.002048 0.189151 -999 -999 -999
-999 -999 -999 0.000000 0.396888 -999 -999 -999
-999 -999 -999 0.002048 0.112322 -999 -999 -999
-999 -999 -999 0.985151 0.101257 -999 -999 -999
-999 -999 -999 0.969790 0.015226 -999 -999 -999
